#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment	new_name
CMU002392F	CMU000491F	CMU000087F	99.98	114.62	HAPLOTIG	000486F_002
CMU002137F	CMU000518F	CMU000272F	100.00	2195.67	REPEAT	000487F_000
CMU002331F	CMU000518F	CMU000272F	99.98	775.21	REPEAT	000487F_001
CMU002823F	CMU000519F	CMU000019F	97.92	98.06	HAPLOTIG	000488F_000
CMU002310F	CMU000527F	CMU000794F	100.00	138.44	HAPLOTIG	000489F_000
CMU000581F	CMU000527F	CMU000316F	73.59	128.84	HAPLOTIG	000489F_001
CMU001895F	CMU000537F	CMU000130F	99.91	104.30	HAPLOTIG	000490F_000
CMU002462F	CMU000570F	CMU001018F	82.86	191.71	HAPLOTIG	000491F_000
CMU001576F	CMU000554F	CMU000349F	99.97	365.55	REPEAT	000494F_000
CMU002622F	CMU000554F	CMU000349F	99.39	484.94	REPEAT	000494F_001
CMU003293F	CMU000554F	CMU001644F	100.00	260.94	REPEAT	000494F_002
CMU003424F	CMU000554F	CMU001644F	99.23	135.90	HAPLOTIG	000494F_003
CMU001310F	CMU000566F	CMU000019F	73.02	160.81	HAPLOTIG	000500F_000
CMU001955F	CMU000549F	CMU000355F	86.05	86.07	HAPLOTIG	000501F_000
CMU002656F	CMU000549F	CMU000474F	100.00	117.93	HAPLOTIG	000501F_001
CMU002500F	CMU000549F	CMU000204F	99.98	117.62	HAPLOTIG	000501F_002
CMU002930F	CMU000549F	CMU000293F	72.94	203.72	HAPLOTIG	000501F_003
CMU002424F	CMU000412F	CMU000756F	100.00	218.53	HAPLOTIG	000502F_000
CMU002492F	CMU000565F	CMU000410F	99.99	417.00	REPEAT	000504F_000
CMU001784F	CMU000568F	CMU000215F	100.00	100.00	HAPLOTIG	000506F_000
CMU001830F	CMU000568F	CMU001019F	99.99	100.03	HAPLOTIG	000506F_001
CMU002855F	CMU000568F	CMU000006F	99.99	100.13	HAPLOTIG	000506F_002
CMU001174F	CMU000654F	CMU001249F	90.04	116.27	HAPLOTIG	000509F_000
CMU001849F	CMU000654F	CMU000211F	100.00	355.33	REPEAT	000509F_001
CMU002145F	CMU000582F	CMU000313F	100.00	234.54	HAPLOTIG	000513F_000
CMU002095F	CMU000582F	CMU000027F	95.05	102.43	HAPLOTIG	000513F_001
CMU002997F	CMU000585F	CMU000091F	99.97	202.09	HAPLOTIG	000518F_000
CMU001581F	CMU000559F	CMU000983F	100.00	127.03	HAPLOTIG	000519F_000
CMU002498F	CMU000559F	CMU000019F	99.99	141.10	HAPLOTIG	000519F_001
CMU002976F	CMU000559F	CMU000852F	99.97	170.72	HAPLOTIG	000519F_002
CMU003666F	CMU000562F	CMU000014F	85.67	685.37	REPEAT	000521F_000
CMU002820F	CMU000599F	CMU000027F	97.41	100.91	HAPLOTIG	000522F_000
CMU003108F	CMU000594F	CMU000336F	100.00	193.95	HAPLOTIG	000525F_000
CMU003564F	CMU000543F	CMU000432F	97.56	215.45	HAPLOTIG	000529F_000
CMU001498F	CMU000586F	CMU000015F	70.55	175.32	HAPLOTIG	000533F_000
CMU003339F	CMU000586F	CMU000199F	100.00	708.74	REPEAT	000533F_001
CMU003389F	CMU000586F	CMU000015F	100.00	263.10	REPEAT	000533F_002
CMU003415F	CMU000586F	CMU000468F	100.00	754.17	REPEAT	000533F_003
CMU003494F	CMU000586F	CMU000015F	100.00	200.00	HAPLOTIG	000533F_004
CMU002446F	CMU000579F	CMU000019F	99.94	101.23	HAPLOTIG	000534F_000
CMU002557F	CMU000234F	CMU000202F	100.00	125.71	HAPLOTIG	000537F_000
CMU002434F	CMU000548F	CMU000416F	100.00	468.16	REPEAT	000540F_000
CMU002937F	CMU000548F	CMU000736F	100.00	574.11	REPEAT	000540F_001
CMU001998F	CMU000595F	CMU000505F	89.06	217.83	HAPLOTIG	000542F_000
CMU002611F	CMU000598F	CMU000026F	99.74	218.15	HAPLOTIG	000544F_000
CMU002752F	CMU000598F	CMU000494F	99.96	261.08	REPEAT	000544F_001
CMU002761F	CMU000596F	CMU000012F	94.73	353.46	REPEAT	000546F_000
CMU001658F	CMU000569F	CMU000092F	100.00	142.25	HAPLOTIG	000548F_000
CMU002362F	CMU000590F	CMU001158F	99.97	117.96	HAPLOTIG	000549F_000
CMU002781F	CMU000590F	CMU000085F	99.92	103.41	HAPLOTIG	000549F_001
CMU001841F	CMU000620F	CMU000026F	98.89	292.00	REPEAT	000553F_000
CMU002415F	CMU000620F	CMU000026F	99.94	266.61	REPEAT	000553F_001
CMU002620F	CMU000620F	CMU000026F	99.67	319.29	REPEAT	000553F_002
CMU002266F	CMU000620F	CMU000026F	99.98	305.94	REPEAT	000553F_003
CMU002639F	CMU000620F	CMU000026F	100.00	302.36	REPEAT	000553F_004
CMU001969F	CMU000589F	CMU000020F	100.00	111.58	HAPLOTIG	000554F_000
CMU002653F	CMU000589F	CMU000956F	100.00	123.49	HAPLOTIG	000554F_001
CMU002056F	CMU000404F	CMU000098F	99.93	227.89	HAPLOTIG	000556F_000
CMU002153F	CMU000404F	CMU000012F	99.96	218.95	HAPLOTIG	000556F_001
CMU002313F	CMU000404F	CMU000096F	85.48	297.03	REPEAT	000556F_002
CMU003410F	CMU000404F	CMU000119F	100.00	185.71	HAPLOTIG	000556F_003
CMU001338F	CMU000622F	CMU000019F	87.52	213.02	HAPLOTIG	000557F_000
CMU001697F	CMU000622F	CMU001596F	100.00	254.49	REPEAT	000557F_001
CMU001460F	CMU000571F	CMU000073F	100.00	114.99	HAPLOTIG	000558F_000
CMU002036F	CMU000571F	CMU000143F	94.55	131.71	HAPLOTIG	000558F_001
CMU002835F	CMU000601F	CMU000019F	100.00	111.71	HAPLOTIG	000559F_000
CMU003286F	CMU000601F	CMU000061F	99.83	138.33	HAPLOTIG	000559F_001
CMU002364F	CMU000576F	CMU000419F	99.84	143.53	HAPLOTIG	000561F_000
CMU002488F	CMU000610F	CMU000019F	100.00	523.11	REPEAT	000562F_000
CMU002410F	CMU000610F	CMU000313F	91.00	765.55	REPEAT	000562F_001
CMU002459F	CMU000623F	CMU000010F	99.59	182.05	HAPLOTIG	000563F_000
CMU001598F	CMU000641F	CMU000092F	99.99	104.15	HAPLOTIG	000564F_000
CMU002529F	CMU000656F	CMU000061F	93.87	96.63	HAPLOTIG	000567F_000
CMU002674F	CMU000656F	CMU000152F	99.97	100.43	HAPLOTIG	000567F_001
CMU002340F	CMU000616F	CMU000038F	99.99	122.63	HAPLOTIG	000568F_000
CMU001042F	CMU000667F	CMU000002F	71.74	184.55	HAPLOTIG	000569F_000
CMU002610F	CMU000667F	CMU000055F	99.89	272.63	REPEAT	000569F_001
CMU002895F	CMU000667F	CMU000055F	100.00	206.04	HAPLOTIG	000569F_002
CMU002643F	CMU000667F	CMU000299F	86.10	195.45	HAPLOTIG	000569F_003
CMU002501F	CMU000681F	CMU000425F	100.00	123.23	HAPLOTIG	000571F_000
CMU002247F	CMU000628F	CMU000134F	98.69	105.61	HAPLOTIG	000572F_000
CMU000945F	CMU000626F	CMU000420F	73.90	413.86	REPEAT	000573F_000
CMU002386F	CMU000626F	CMU000420F	99.75	179.84	HAPLOTIG	000573F_001
CMU002422F	CMU000626F	CMU000053F	99.99	540.65	REPEAT	000573F_002
CMU002358F	CMU000615F	CMU000199F	85.97	164.03	HAPLOTIG	000574F_000
CMU002531F	CMU000615F	CMU000143F	100.00	241.71	HAPLOTIG	000574F_001
CMU002163F	CMU000633F	CMU000000F	99.98	105.82	HAPLOTIG	000576F_000
CMU002788F	CMU000606F	CMU000495F	94.54	111.15	HAPLOTIG	000577F_000
CMU001714F	CMU000639F	CMU000072F	100.00	154.50	HAPLOTIG	000578F_000
CMU002238F	CMU000639F	CMU000164F	95.84	131.96	HAPLOTIG	000578F_001
CMU002164F	CMU000607F	CMU000028F	99.95	114.71	HAPLOTIG	000579F_000
CMU002282F	CMU000612F	CMU000895F	89.04	173.39	HAPLOTIG	000583F_000
CMU000887F	CMU000677F	CMU000276F	99.98	252.04	REPEAT	000584F_000
CMU002315F	CMU000677F	CMU000704F	98.05	321.17	REPEAT	000584F_001
CMU003005F	CMU000677F	CMU000019F	99.98	321.22	REPEAT	000584F_002
CMU001136F	CMU000603F	CMU000085F	71.76	78.20	HAPLOTIG	000590F_000
CMU000713F	CMU000629F	CMU000703F	100.00	116.55	HAPLOTIG	000591F_000
CMU002368F	CMU000600F	CMU000041F	97.71	185.42	HAPLOTIG	000592F_000
CMU003058F	CMU000653F	CMU000995F	99.55	184.44	HAPLOTIG	000593F_000
CMU002028F	CMU000611F	CMU000037F	99.94	108.60	HAPLOTIG	000595F_000
CMU003093F	CMU000720F	CMU000070F	98.04	212.35	HAPLOTIG	000599F_000
CMU000814F	CMU000664F	CMU000427F	98.23	123.27	HAPLOTIG	000601F_000
CMU001566F	CMU000674F	CMU000096F	94.05	176.94	HAPLOTIG	000602F_000
CMU002658F	CMU000674F	CMU000014F	99.98	235.40	HAPLOTIG	000602F_001
CMU001202F	CMU000617F	CMU000010F	74.77	93.10	HAPLOTIG	000607F_000
CMU003050F	CMU000617F	CMU000034F	99.98	121.43	HAPLOTIG	000607F_001
CMU001801F	CMU000682F	CMU000104F	100.00	106.64	HAPLOTIG	000609F_000
CMU002174F	CMU000682F	CMU000006F	99.98	100.36	HAPLOTIG	000609F_001
CMU001656F	CMU000644F	CMU000075F	100.00	107.76	HAPLOTIG	000610F_000
CMU002213F	CMU000648F	CMU000006F	100.00	101.48	HAPLOTIG	000613F_000
CMU003222F	CMU000689F	CMU000026F	99.70	195.88	HAPLOTIG	000617F_000
CMU002805F	CMU000675F	CMU000096F	89.05	102.03	HAPLOTIG	000621F_000
CMU002072F	CMU000690F	CMU000067F	99.99	101.78	HAPLOTIG	000623F_000
CMU003114F	CMU000624F	CMU000636F	100.00	113.75	HAPLOTIG	000625F_000
CMU001391F	CMU000522F	CMU000027F	98.33	172.26	HAPLOTIG	000626F_000
CMU002180F	CMU000522F	CMU000850F	99.88	147.53	HAPLOTIG	000626F_001
CMU003674F	CMU000522F	CMU001393F	84.97	594.76	REPEAT	000626F_002
CMU001381F	CMU000651F	CMU000784F	74.00	74.21	HAPLOTIG	000627F_000
CMU002304F	CMU000692F	CMU000358F	99.99	131.40	HAPLOTIG	000635F_000
CMU003049F	CMU000692F	CMU000019F	99.94	103.34	HAPLOTIG	000635F_001
CMU000795F	CMU000711F	CMU000724F	72.04	75.73	HAPLOTIG	000636F_000
CMU002715F	CMU000711F	CMU000724F	100.00	172.67	HAPLOTIG	000636F_001
CMU002179F	CMU000697F	CMU000141F	99.96	306.37	REPEAT	000637F_000
CMU002380F	CMU000722F	CMU000000F	99.92	154.66	HAPLOTIG	000639F_000
CMU001403F	CMU000700F	CMU000018F	97.85	130.34	HAPLOTIG	000642F_000
CMU003101F	CMU000698F	CMU000407F	99.62	109.15	HAPLOTIG	000647F_000
CMU003064F	CMU000698F	CMU000976F	93.34	203.02	HAPLOTIG	000647F_001
CMU002130F	CMU000736F	CMU000327F	100.00	103.25	HAPLOTIG	000648F_000
CMU001893F	CMU000734F	CMU001376F	99.90	139.06	HAPLOTIG	000650F_000
CMU002637F	CMU000734F	CMU001985F	98.54	104.28	HAPLOTIG	000650F_001
CMU002901F	CMU000734F	CMU000034F	98.33	159.27	HAPLOTIG	000650F_002
CMU001846F	CMU000741F	CMU000000F	99.29	160.93	HAPLOTIG	000651F_000
CMU003075F	CMU000719F	CMU000034F	99.95	307.62	REPEAT	000654F_000
CMU001501F	CMU000766F	CMU000014F	83.78	166.92	HAPLOTIG	000656F_000
CMU002049F	CMU000721F	CMU000292F	95.42	140.69	HAPLOTIG	000657F_000
CMU003010F	CMU000724F	CMU000002F	99.65	103.29	HAPLOTIG	000658F_000
CMU002939F	CMU000724F	CMU000463F	99.99	158.91	HAPLOTIG	000658F_001
CMU002601F	CMU000712F	CMU001817F	97.73	103.35	HAPLOTIG	000659F_000
CMU003177F	CMU000747F	CMU000012F	99.93	294.54	REPEAT	000660F_000
CMU001757F	CMU000761F	CMU001012F	91.04	188.34	HAPLOTIG	000665F_000
CMU002387F	CMU000761F	CMU001012F	100.00	270.78	REPEAT	000665F_001
CMU002726F	CMU000684F	CMU000155F	100.00	102.88	HAPLOTIG	000671F_000
CMU002628F	CMU000706F	CMU000012F	99.94	113.55	HAPLOTIG	000672F_000
CMU001420F	CMU000740F	CMU003353F	99.68	140.67	HAPLOTIG	000673F_000
CMU003105F	CMU000744F	CMU000586F	98.50	815.00	REPEAT	000674F_000
CMU003405F	CMU000744F	CMU000395F	90.00	190.00	HAPLOTIG	000674F_001
CMU002638F	CMU000799F	CMU000007F	99.73	186.10	HAPLOTIG	000676F_000
CMU002880F	CMU000738F	CMU002291F	99.90	222.22	HAPLOTIG	000677F_000
CMU002463F	CMU000733F	CMU000012F	100.00	268.18	REPEAT	000681F_000
CMU003004F	CMU000733F	CMU000956F	95.15	297.03	REPEAT	000681F_001
CMU002131F	CMU000756F	CMU001339F	96.97	96.97	HAPLOTIG	000686F_000
CMU002911F	CMU000762F	CMU000038F	99.98	100.25	HAPLOTIG	000689F_000
CMU002910F	CMU000709F	CMU001268F	79.18	215.09	HAPLOTIG	000690F_000
CMU002102F	CMU000701F	CMU000014F	88.36	170.63	HAPLOTIG	000691F_000
CMU002275F	CMU000701F	CMU001225F	100.00	198.60	HAPLOTIG	000691F_001
CMU002402F	CMU000701F	CMU000012F	99.86	197.40	HAPLOTIG	000691F_002
CMU002025F	CMU000790F	CMU001215F	100.00	108.75	HAPLOTIG	000693F_000
CMU002866F	CMU000737F	CMU000111F	99.97	140.64	HAPLOTIG	000696F_000
CMU002777F	CMU000757F	CMU001342F	99.96	158.52	HAPLOTIG	000697F_000
CMU003354F	CMU000757F	CMU000398F	99.99	99.99	HAPLOTIG	000697F_001
CMU003408F	CMU000728F	CMU000398F	99.71	290.53	REPEAT	000698F_000
CMU002642F	CMU000794F	CMU000527F	99.89	119.01	HAPLOTIG	000703F_000
CMU001233F	CMU000785F	CMU001926F	70.37	71.40	HAPLOTIG	000704F_000
CMU002186F	CMU000785F	CMU000006F	85.31	90.89	HAPLOTIG	000704F_001
CMU002859F	CMU000801F	CMU000000F	99.86	122.61	HAPLOTIG	000705F_000
CMU002657F	CMU000730F	CMU000370F	99.89	152.04	HAPLOTIG	000707F_000
CMU001670F	CMU000758F	CMU000019F	99.98	102.47	HAPLOTIG	000709F_000
CMU002625F	CMU000754F	CMU000012F	99.86	142.86	HAPLOTIG	000712F_000
CMU001743F	CMU000791F	CMU000314F	99.95	106.14	HAPLOTIG	000717F_000
CMU002399F	CMU000791F	CMU000019F	100.00	102.01	HAPLOTIG	000717F_001
CMU001266F	CMU000748F	CMU000626F	97.64	398.41	REPEAT	000720F_000
CMU001712F	CMU000748F	CMU000626F	93.05	342.52	REPEAT	000720F_001
CMU002097F	CMU000748F	CMU000420F	99.99	333.66	REPEAT	000720F_002
CMU002775F	CMU000748F	CMU000005F	96.64	96.83	HAPLOTIG	000720F_003
CMU002806F	CMU000769F	CMU000000F	97.05	116.92	HAPLOTIG	000721F_000
CMU000833F	CMU000788F	CMU000019F	86.84	91.11	HAPLOTIG	000723F_000
CMU002921F	CMU000786F	CMU001054F	99.64	136.74	HAPLOTIG	000725F_000
CMU002690F	CMU000821F	CMU000295F	100.00	249.63	HAPLOTIG	000728F_000
CMU002536F	CMU000822F	CMU000006F	99.96	131.60	HAPLOTIG	000730F_000
CMU002375F	CMU000647F	CMU000119F	94.60	145.73	HAPLOTIG	000735F_000
CMU002850F	CMU000647F	CMU000047F	100.00	204.67	HAPLOTIG	000735F_001
CMU002662F	CMU000725F	CMU000601F	100.00	135.33	HAPLOTIG	000736F_000
CMU002603F	CMU000803F	CMU000012F	100.00	150.82	HAPLOTIG	000737F_000
CMU001632F	CMU000848F	CMU000831F	94.36	115.66	HAPLOTIG	000739F_000
CMU001270F	CMU000765F	CMU000019F	87.31	175.43	HAPLOTIG	000740F_000
CMU002249F	CMU000778F	CMU000250F	99.93	105.24	HAPLOTIG	000743F_000
CMU002300F	CMU000879F	CMU000012F	100.00	210.84	HAPLOTIG	000745F_000
CMU002769F	CMU000879F	CMU002871F	99.70	139.85	HAPLOTIG	000745F_001
CMU003188F	CMU000802F	CMU001079F	80.04	1576.44	REPEAT	000749F_000
CMU001280F	CMU000809F	CMU000302F	99.93	125.59	HAPLOTIG	000752F_000
CMU002360F	CMU000866F	CMU000012F	87.79	406.98	REPEAT	000753F_000
CMU003654F	CMU000842F	CMU003359F	99.46	596.75	REPEAT	000754F_000
CMU001335F	CMU000838F	CMU002783F	72.46	84.49	HAPLOTIG	000755F_000
CMU001436F	CMU000818F	CMU000012F	97.76	117.63	HAPLOTIG	000756F_000
CMU002956F	CMU000818F	CMU000010F	100.00	223.07	HAPLOTIG	000756F_001
CMU002420F	CMU000708F	CMU000019F	100.00	347.53	REPEAT	000759F_000
CMU002864F	CMU000708F	CMU000356F	99.99	328.37	REPEAT	000759F_001
CMU002654F	CMU000708F	CMU000356F	72.82	378.04	REPEAT	000759F_002
CMU001020F	CMU000856F	CMU000357F	88.89	435.86	REPEAT	000760F_000
CMU002580F	CMU000856F	CMU000019F	99.99	110.22	HAPLOTIG	000760F_001
CMU001605F	CMU000884F	CMU000199F	99.84	208.65	HAPLOTIG	000761F_000
CMU001815F	CMU000884F	CMU000199F	99.99	1056.15	REPEAT	000761F_001
CMU002878F	CMU000884F	CMU000091F	99.91	163.24	HAPLOTIG	000761F_002
CMU003178F	CMU000884F	CMU000006F	99.92	761.13	REPEAT	000761F_003
CMU001115F	CMU000850F	CMU001349F	100.00	1215.43	REPEAT	000762F_000
CMU002007F	CMU000850F	CMU001349F	98.32	698.80	REPEAT	000762F_001
CMU002335F	CMU000850F	CMU001349F	100.00	1444.11	REPEAT	000762F_002
CMU002470F	CMU000850F	CMU001349F	99.95	3743.87	REPEAT	000762F_003
CMU002493F	CMU000850F	CMU000357F	99.96	115.64	HAPLOTIG	000762F_004
CMU002444F	CMU000850F	CMU001349F	99.93	3376.30	REPEAT	000762F_005
CMU002553F	CMU000850F	CMU001349F	100.00	3145.70	REPEAT	000762F_006
CMU002520F	CMU000850F	CMU001349F	99.88	1295.89	REPEAT	000762F_007
CMU002503F	CMU000850F	CMU001349F	100.00	2120.48	REPEAT	000762F_008
CMU002474F	CMU000850F	CMU001349F	100.00	2893.43	REPEAT	000762F_009
CMU003059F	CMU000850F	CMU001349F	100.00	3310.29	REPEAT	000762F_010
CMU002954F	CMU000850F	CMU001349F	100.00	3262.38	REPEAT	000762F_011
CMU003198F	CMU000850F	CMU001349F	96.20	3964.14	REPEAT	000762F_012
CMU001530F	CMU000836F	CMU000012F	92.78	258.23	REPEAT	000763F_000
CMU002626F	CMU000835F	CMU000155F	99.33	248.80	HAPLOTIG	000764F_000
CMU002993F	CMU000835F	CMU000155F	99.79	297.56	REPEAT	000764F_001
CMU001736F	CMU000861F	CMU000012F	88.35	230.89	HAPLOTIG	000765F_000
CMU002406F	CMU000861F	CMU000129F	98.38	230.36	HAPLOTIG	000765F_001
CMU003477F	CMU000861F	CMU000810F	99.35	195.91	HAPLOTIG	000765F_002
CMU001244F	CMU000860F	CMU001014F	99.99	114.29	HAPLOTIG	000768F_000
CMU001479F	CMU000827F	CMU000421F	95.11	453.39	REPEAT	000769F_000
CMU001640F	CMU000827F	CMU000019F	99.98	885.87	REPEAT	000769F_001
CMU001635F	CMU000827F	CMU000019F	100.00	862.83	REPEAT	000769F_002
CMU002133F	CMU000827F	CMU000000F	100.00	615.48	REPEAT	000769F_003
CMU002650F	CMU000827F	CMU000602F	100.00	172.83	HAPLOTIG	000769F_004
CMU002753F	CMU000827F	CMU000021F	100.00	1013.68	REPEAT	000769F_005
CMU002942F	CMU000827F	CMU000021F	99.97	1088.32	REPEAT	000769F_006
CMU002128F	CMU000851F	CMU000029F	99.99	103.16	HAPLOTIG	000770F_000
CMU001806F	CMU000817F	CMU001002F	94.79	102.82	HAPLOTIG	000773F_000
CMU002047F	CMU000817F	CMU000000F	100.00	112.65	HAPLOTIG	000773F_001
CMU003016F	CMU000843F	CMU000012F	92.31	173.66	HAPLOTIG	000776F_000
CMU002831F	CMU000800F	CMU000141F	99.92	199.31	HAPLOTIG	000777F_000
CMU001502F	CMU000797F	CMU000064F	82.82	273.73	REPEAT	000780F_000
CMU002100F	CMU000797F	CMU000626F	98.08	499.79	REPEAT	000780F_001
CMU002273F	CMU000797F	CMU000045F	99.97	336.53	REPEAT	000780F_002
CMU002818F	CMU000797F	CMU000230F	96.28	187.57	HAPLOTIG	000780F_003
CMU002567F	CMU000812F	CMU000014F	100.00	128.87	HAPLOTIG	000781F_000
CMU003169F	CMU000812F	CMU001120F	99.86	154.22	HAPLOTIG	000781F_001
CMU002171F	CMU000810F	CMU000012F	95.12	368.68	REPEAT	000782F_000
CMU000987F	CMU000877F	CMU001462F	99.98	157.92	HAPLOTIG	000783F_000
CMU001170F	CMU000855F	CMU000012F	99.53	189.36	HAPLOTIG	000789F_000
CMU002532F	CMU000855F	CMU000012F	84.36	184.76	HAPLOTIG	000789F_001
CMU002302F	CMU001000F	CMU000255F	99.99	230.52	HAPLOTIG	000791F_000
CMU002199F	CMU000857F	CMU000070F	99.95	351.55	REPEAT	000792F_000
CMU002189F	CMU000873F	CMU000050F	96.13	156.90	HAPLOTIG	000793F_000
CMU003223F	CMU000871F	CMU000477F	99.78	277.47	REPEAT	000794F_000
CMU000365F	CMU000547F	CMU000270F	99.99	144.58	HAPLOTIG	000795F_000
CMU002614F	CMU000929F	CMU000554F	99.99	101.55	HAPLOTIG	000797F_000
CMU002787F	CMU000929F	CMU001353F	100.00	119.35	HAPLOTIG	000797F_001
CMU002969F	CMU000929F	CMU000091F	100.00	101.46	HAPLOTIG	000797F_002
CMU001884F	CMU000864F	CMU000012F	90.76	373.56	REPEAT	000798F_000
CMU003069F	CMU000864F	CMU001827F	99.71	102.95	HAPLOTIG	000798F_001
CMU002108F	CMU000901F	CMU000004F	91.29	214.66	HAPLOTIG	000799F_000
CMU002874F	CMU000847F	CMU000019F	100.00	152.80	HAPLOTIG	000800F_000
CMU002538F	CMU000903F	CMU000126F	100.00	123.98	HAPLOTIG	000812F_000
CMU001106F	CMU000919F	CMU000020F	100.00	104.72	HAPLOTIG	000814F_000
CMU000760F	CMU000895F	CMU000398F	79.12	363.55	REPEAT	000816F_000
CMU001751F	CMU000895F	CMU001088F	73.68	458.99	REPEAT	000816F_001
CMU002819F	CMU000895F	CMU000998F	100.00	857.71	REPEAT	000816F_002
CMU002480F	CMU000882F	CMU000015F	99.97	150.06	HAPLOTIG	000817F_000
CMU001047F	CMU000904F	CMU000246F	100.00	100.66	HAPLOTIG	000823F_000
CMU002685F	CMU000904F	CMU000288F	99.92	122.30	HAPLOTIG	000823F_001
CMU001085F	CMU000950F	CMU001451F	80.96	81.17	HAPLOTIG	000827F_000
CMU001567F	CMU000950F	CMU000019F	73.14	77.30	HAPLOTIG	000827F_001
CMU002617F	CMU000950F	CMU000092F	99.95	354.31	REPEAT	000827F_002
CMU002631F	CMU000950F	CMU000092F	99.95	315.27	REPEAT	000827F_003
CMU002972F	CMU000950F	CMU000023F	100.00	275.71	REPEAT	000827F_004
CMU002306F	CMU000948F	CMU000000F	81.82	194.02	HAPLOTIG	000828F_000
CMU002278F	CMU000948F	CMU000429F	100.00	108.09	HAPLOTIG	000828F_001
CMU002834F	CMU000975F	CMU000018F	99.99	128.71	HAPLOTIG	000830F_000
CMU002893F	CMU000975F	CMU000083F	97.38	118.39	HAPLOTIG	000830F_001
CMU002987F	CMU000875F	CMU000051F	99.95	128.88	HAPLOTIG	000834F_000
CMU001616F	CMU000924F	CMU000012F	73.45	142.70	HAPLOTIG	000835F_000
CMU003628F	CMU000924F	CMU000007F	99.79	99.79	HAPLOTIG	000835F_001
CMU002964F	CMU000874F	CMU000126F	98.29	129.53	HAPLOTIG	000838F_000
CMU002151F	CMU000922F	CMU000006F	99.98	112.39	HAPLOTIG	000842F_000
CMU002562F	CMU000922F	CMU000091F	100.00	188.39	HAPLOTIG	000842F_001
CMU003232F	CMU000894F	CMU000012F	97.69	181.48	HAPLOTIG	000843F_000
CMU002373F	CMU000958F	CMU000657F	85.45	168.77	HAPLOTIG	000854F_000
CMU003292F	CMU000958F	CMU000956F	86.81	546.52	REPEAT	000854F_001
CMU003431F	CMU000958F	CMU000241F	98.83	618.03	REPEAT	000854F_002
CMU003509F	CMU000958F	CMU000241F	95.69	712.93	REPEAT	000854F_003
CMU000915F	CMU000939F	CMU000959F	96.29	108.58	HAPLOTIG	000855F_000
CMU001463F	CMU000952F	CMU001401F	97.92	102.46	HAPLOTIG	000856F_000
CMU002581F	CMU000952F	CMU000554F	98.93	99.92	HAPLOTIG	000856F_001
CMU002679F	CMU000935F	CMU000225F	91.78	102.81	HAPLOTIG	000857F_000
CMU002681F	CMU000943F	CMU000297F	99.96	111.63	HAPLOTIG	000858F_000
CMU002428F	CMU000891F	CMU000303F	99.90	110.35	HAPLOTIG	000863F_000
CMU003119F	CMU000891F	CMU000802F	99.95	319.86	REPEAT	000863F_001
CMU002307F	CMU000956F	CMU000019F	97.13	160.17	HAPLOTIG	000864F_000
CMU002559F	CMU000956F	CMU000019F	99.91	231.00	HAPLOTIG	000864F_001
CMU003481F	CMU000956F	CMU000199F	97.09	217.48	HAPLOTIG	000864F_002
CMU001866F	CMU000912F	CMU000301F	99.08	868.62	REPEAT	000865F_000
CMU002283F	CMU000947F	CMU000238F	100.00	103.38	HAPLOTIG	000870F_000
CMU001901F	CMU000965F	CMU001111F	99.89	197.07	HAPLOTIG	000878F_000
CMU003035F	CMU000858F	CMU000951F	99.93	358.63	REPEAT	000880F_000
CMU002573F	CMU000957F	CMU001148F	100.00	197.14	HAPLOTIG	000885F_000
CMU003291F	CMU000994F	CMU001545F	92.92	249.58	HAPLOTIG	000889F_000
CMU001791F	CMU000999F	CMU000070F	85.84	279.13	REPEAT	000897F_000
CMU001253F	CMU001022F	CMU001897F	99.99	106.16	HAPLOTIG	000901F_000
CMU001774F	CMU001022F	CMU002154F	99.96	546.55	REPEAT	000901F_001
CMU002322F	CMU001005F	CMU000087F	99.99	100.07	HAPLOTIG	000903F_000
CMU002312F	CMU001088F	CMU000895F	84.72	537.56	REPEAT	000904F_000
CMU002900F	CMU001088F	CMU000895F	74.91	535.99	REPEAT	000904F_001
CMU003175F	CMU001088F	CMU000895F	97.17	444.50	REPEAT	000904F_002
CMU003258F	CMU001088F	CMU000895F	100.00	447.10	REPEAT	000904F_003
CMU003364F	CMU001088F	CMU000728F	100.00	566.14	REPEAT	000904F_004
CMU001744F	CMU001010F	CMU000325F	100.00	143.91	HAPLOTIG	000906F_000
CMU003088F	CMU000998F	CMU000895F	100.00	322.76	REPEAT	000907F_000
CMU002526F	CMU000971F	CMU000208F	99.97	110.57	HAPLOTIG	000908F_000
CMU003041F	CMU000981F	CMU000515F	100.00	237.51	HAPLOTIG	000909F_000
CMU002686F	CMU000970F	CMU000019F	100.00	104.40	HAPLOTIG	000910F_000
CMU002711F	CMU000988F	CMU000476F	99.88	140.31	HAPLOTIG	000911F_000
CMU002833F	CMU000988F	CMU000155F	99.94	380.22	REPEAT	000911F_001
CMU002947F	CMU000960F	CMU000243F	100.00	273.14	REPEAT	000913F_000
CMU002041F	CMU001044F	CMU000019F	85.81	131.28	HAPLOTIG	000914F_000
CMU002495F	CMU000946F	CMU000065F	100.00	150.44	HAPLOTIG	000915F_000
CMU001153F	CMU001076F	CMU000496F	99.99	163.46	HAPLOTIG	000917F_000
CMU002220F	CMU001016F	CMU000012F	98.24	137.93	HAPLOTIG	000919F_000
