#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
CMU001826F	CMU001128F	CMU000105F	92.92	130.70	HAPLOTIG
CMU001828F	CMU001070F	CMU000081F	73.74	89.47	HAPLOTIG
CMU001830F	CMU000568F	CMU001019F	99.99	100.03	HAPLOTIG
CMU001834F	CMU000221F	CMU000480F	99.93	10516.21	REPEAT
CMU001837F	CMU001564F	CMU000436F	93.33	336.34	REPEAT
CMU001838F	CMU001078F	CMU000126F	89.23	149.67	HAPLOTIG
CMU001840F	CMU000294F	CMU000897F	99.99	234.17	HAPLOTIG
CMU001841F	CMU000620F	CMU000026F	98.89	292.00	REPEAT
CMU001843F	CMU000427F	CMU000170F	99.99	109.85	HAPLOTIG
CMU001844F	CMU000053F	CMU000019F	100.00	106.97	HAPLOTIG
CMU001845F	CMU000082F	CMU000384F	100.00	114.80	HAPLOTIG
CMU001846F	CMU000741F	CMU000000F	99.29	160.93	HAPLOTIG
CMU001848F	CMU000087F	CMU000061F	100.00	139.76	HAPLOTIG
CMU001849F	CMU000654F	CMU000211F	100.00	355.33	REPEAT
CMU001851F	CMU000327F	CMU000400F	100.00	878.73	REPEAT
CMU001855F	CMU000037F	CMU000956F	100.00	108.77	HAPLOTIG
CMU001858F	CMU000336F	CMU001007F	99.70	108.10	HAPLOTIG
CMU001860F	CMU000025F	CMU000680F	82.16	84.27	HAPLOTIG
CMU001865F	CMU001097F	CMU000012F	100.00	148.80	HAPLOTIG
CMU001866F	CMU000912F	CMU000301F	99.08	868.62	REPEAT
CMU001869F	CMU000483F	CMU000014F	99.96	172.25	HAPLOTIG
CMU001870F	CMU000683F	CMU000019F	96.70	102.46	HAPLOTIG
CMU001871F	CMU000302F	CMU001254F	99.72	227.80	HAPLOTIG
CMU001873F	CMU000290F	CMU000673F	99.99	140.92	HAPLOTIG
CMU001874F	CMU000270F	CMU000705F	99.99	102.94	HAPLOTIG
CMU001881F	CMU000237F	CMU001689F	100.00	157.88	HAPLOTIG
CMU001882F	CMU001868F	CMU000012F	73.88	154.31	HAPLOTIG
CMU001883F	CMU000420F	CMU000626F	96.90	548.98	REPEAT
CMU001884F	CMU000864F	CMU000012F	90.76	373.56	REPEAT
CMU001889F	CMU000481F	CMU000706F	99.93	150.19	HAPLOTIG
CMU001890F	CMU000201F	CMU000028F	99.98	125.76	HAPLOTIG
CMU001892F	CMU000178F	CMU000026F	99.98	109.33	HAPLOTIG
CMU001893F	CMU000734F	CMU001376F	99.90	139.06	HAPLOTIG
CMU001894F	CMU000027F	CMU000215F	99.99	111.07	HAPLOTIG
CMU001895F	CMU000537F	CMU000130F	99.91	104.30	HAPLOTIG
CMU001896F	CMU000372F	CMU000028F	99.99	110.01	HAPLOTIG
CMU001899F	CMU001446F	CMU000052F	99.99	348.91	REPEAT
CMU001900F	CMU000087F	CMU000983F	100.00	103.27	HAPLOTIG
CMU001901F	CMU000965F	CMU001111F	99.89	197.07	HAPLOTIG
CMU001904F	CMU000048F	CMU000061F	98.17	101.01	HAPLOTIG
CMU001906F	CMU001401F	CMU000019F	99.96	468.77	REPEAT
CMU001909F	CMU000020F	CMU000367F	99.86	187.64	HAPLOTIG
CMU001910F	CMU001657F	CMU000091F	89.49	96.72	HAPLOTIG
CMU001912F	CMU000178F	CMU000000F	80.71	95.15	HAPLOTIG
CMU001919F	CMU000043F	CMU000216F	100.00	101.97	HAPLOTIG
CMU001921F	CMU000490F	CMU001583F	100.00	194.71	HAPLOTIG
CMU001922F	CMU000445F	CMU000019F	100.00	238.41	HAPLOTIG
CMU001923F	CMU000024F	CMU000001F	100.00	152.42	HAPLOTIG
CMU001924F	CMU002694F	CMU000381F	85.88	98.05	HAPLOTIG
CMU001925F	CMU000248F	CMU000224F	99.98	110.72	HAPLOTIG
CMU001927F	CMU000353F	CMU000079F	99.60	99.65	HAPLOTIG
CMU001928F	CMU001225F	CMU000701F	99.34	241.20	HAPLOTIG
CMU001930F	CMU000179F	CMU000000F	99.98	108.68	HAPLOTIG
CMU001935F	CMU000046F	CMU000059F	96.94	134.23	HAPLOTIG
CMU001938F	CMU001117F	CMU000389F	99.99	108.36	HAPLOTIG
CMU001940F	CMU001710F	CMU000012F	98.52	137.07	HAPLOTIG
CMU001941F	CMU000478F	CMU001467F	99.94	101.40	HAPLOTIG
CMU001942F	CMU000362F	CMU000280F	99.27	165.40	HAPLOTIG
CMU001945F	CMU001151F	CMU000456F	93.21	133.09	HAPLOTIG
CMU001946F	CMU000393F	CMU000213F	96.11	100.91	HAPLOTIG
CMU001948F	CMU000014F	CMU000206F	99.86	415.69	REPEAT
CMU001949F	CMU000075F	CMU000260F	100.00	123.73	HAPLOTIG
CMU001950F	CMU000082F	CMU000092F	99.98	105.73	HAPLOTIG
CMU001953F	CMU000416F	CMU000031F	99.98	187.27	HAPLOTIG
CMU001954F	CMU001320F	CMU001781F	99.95	390.07	REPEAT
CMU001955F	CMU000549F	CMU000355F	86.05	86.07	HAPLOTIG
CMU001956F	CMU000491F	CMU000130F	99.99	118.94	HAPLOTIG
CMU001957F	CMU001540F	CMU000956F	86.12	115.07	HAPLOTIG
CMU001959F	CMU001756F	CMU000012F	99.94	214.34	HAPLOTIG
CMU001965F	CMU001114F	CMU000012F	100.00	188.90	HAPLOTIG
CMU001966F	CMU000288F	CMU000020F	99.99	113.00	HAPLOTIG
CMU001967F	CMU001952F	CMU000000F	98.52	124.84	HAPLOTIG
CMU001969F	CMU000589F	CMU000020F	100.00	111.58	HAPLOTIG
CMU001970F	CMU001917F	CMU000018F	90.84	264.22	REPEAT
CMU001974F	CMU001277F	CMU000009F	99.27	116.10	HAPLOTIG
CMU001975F	CMU000117F	CMU000012F	100.00	102.32	HAPLOTIG
CMU001976F	CMU000072F	CMU000007F	99.99	162.26	HAPLOTIG
CMU001977F	CMU000702F	CMU000348F	99.96	111.54	HAPLOTIG
CMU001980F	CMU001472F	CMU000055F	99.91	309.40	REPEAT
CMU001981F	CMU001107F	CMU000006F	96.62	167.93	HAPLOTIG
CMU001984F	CMU000131F	CMU000006F	99.89	104.43	HAPLOTIG
CMU001986F	CMU001072F	CMU000092F	99.99	157.99	HAPLOTIG
CMU001988F	CMU001167F	CMU001346F	98.66	135.55	HAPLOTIG
CMU001989F	CMU001166F	CMU000830F	99.99	101.76	HAPLOTIG
CMU001991F	CMU001050F	CMU000014F	100.00	124.76	HAPLOTIG
CMU001994F	CMU001689F	CMU000038F	96.35	803.24	REPEAT
CMU001996F	CMU000066F	CMU000023F	99.99	132.33	HAPLOTIG
CMU001998F	CMU000595F	CMU000505F	89.06	217.83	HAPLOTIG
CMU001999F	CMU000007F	CMU000000F	99.97	109.93	HAPLOTIG
CMU002000F	CMU000221F	CMU000480F	99.73	18470.23	REPEAT
CMU002003F	CMU000301F	CMU000019F	99.94	2303.44	REPEAT
CMU002006F	CMU000515F	CMU000160F	80.00	97.95	HAPLOTIG
CMU002007F	CMU000850F	CMU001349F	98.32	698.80	REPEAT
CMU002009F	CMU000119F	CMU000014F	76.62	184.73	HAPLOTIG
CMU002010F	CMU000060F	CMU000019F	99.99	113.51	HAPLOTIG
CMU002011F	CMU001144F	CMU000012F	98.07	233.89	HAPLOTIG
CMU002013F	CMU000201F	CMU000091F	100.00	108.60	HAPLOTIG
CMU002015F	CMU001807F	CMU000088F	94.97	102.85	HAPLOTIG
CMU002018F	CMU000055F	CMU000018F	72.14	137.33	HAPLOTIG
CMU002019F	CMU000378F	CMU000396F	99.99	2758.10	REPEAT
CMU002021F	CMU000282F	CMU000038F	99.99	123.89	HAPLOTIG
CMU002023F	CMU001320F	CMU001781F	99.59	345.36	REPEAT
CMU002024F	CMU000376F	CMU000009F	98.26	166.84	HAPLOTIG
CMU002025F	CMU000790F	CMU001215F	100.00	108.75	HAPLOTIG
CMU002026F	CMU000373F	CMU000324F	99.97	136.88	HAPLOTIG
CMU002028F	CMU000611F	CMU000037F	99.94	108.60	HAPLOTIG
CMU002030F	CMU000356F	CMU000708F	99.99	515.09	REPEAT
CMU002031F	CMU000027F	CMU002094F	100.00	104.41	HAPLOTIG
CMU002032F	CMU000307F	CMU000194F	100.00	112.40	HAPLOTIG
CMU002035F	CMU000035F	CMU000934F	86.78	126.82	HAPLOTIG
CMU002036F	CMU000571F	CMU000143F	94.55	131.71	HAPLOTIG
CMU002038F	CMU002078F	CMU000025F	97.84	115.23	HAPLOTIG
CMU002040F	CMU001377F	CMU001088F	89.92	393.22	REPEAT
CMU002041F	CMU001044F	CMU000019F	85.81	131.28	HAPLOTIG
CMU002042F	CMU001932F	CMU000012F	99.87	203.40	HAPLOTIG
CMU002043F	CMU000092F	CMU000081F	99.99	100.59	HAPLOTIG
CMU002047F	CMU000817F	CMU000000F	100.00	112.65	HAPLOTIG
CMU002049F	CMU000721F	CMU000292F	95.42	140.69	HAPLOTIG
CMU002050F	CMU000378F	CMU000214F	99.93	358.99	REPEAT
CMU002051F	CMU000499F	CMU000463F	99.96	350.54	REPEAT
CMU002052F	CMU000130F	CMU000718F	99.99	117.46	HAPLOTIG
CMU002054F	CMU001346F	CMU000000F	99.97	294.85	REPEAT
CMU002055F	CMU000126F	CMU000012F	99.97	315.45	REPEAT
CMU002056F	CMU000404F	CMU000098F	99.93	227.89	HAPLOTIG
CMU002059F	CMU000025F	CMU000091F	82.97	100.36	HAPLOTIG
CMU002060F	CMU001794F	CMU000034F	100.00	136.30	HAPLOTIG
CMU002064F	CMU000367F	CMU001758F	70.93	157.88	HAPLOTIG
CMU002066F	CMU000375F	CMU000042F	99.99	102.37	HAPLOTIG
CMU002067F	CMU001282F	CMU000163F	99.50	2597.81	REPEAT
CMU002068F	CMU000092F	CMU000052F	82.11	144.13	HAPLOTIG
CMU002069F	CMU001346F	CMU000019F	99.68	188.05	HAPLOTIG
CMU002070F	CMU001427F	CMU000012F	99.06	179.20	HAPLOTIG
CMU002072F	CMU000690F	CMU000067F	99.99	101.78	HAPLOTIG
CMU002074F	CMU000335F	CMU000008F	100.00	100.47	HAPLOTIG
CMU002080F	CMU000168F	CMU000012F	99.87	309.20	REPEAT
CMU002082F	CMU002152F	CMU000018F	71.18	137.02	HAPLOTIG
CMU002084F	CMU000275F	CMU000000F	100.00	190.81	HAPLOTIG
CMU002085F	CMU001747F	CMU001044F	99.95	175.61	HAPLOTIG
CMU002087F	CMU000205F	CMU001491F	99.99	111.25	HAPLOTIG
CMU002088F	CMU000263F	CMU001230F	85.20	105.85	HAPLOTIG
CMU002089F	CMU001721F	CMU000700F	90.91	133.54	HAPLOTIG
CMU002090F	CMU000055F	CMU000012F	71.27	249.29	HAPLOTIG
CMU002092F	CMU000021F	CMU000002F	99.96	245.15	HAPLOTIG
CMU002095F	CMU000582F	CMU000027F	95.05	102.43	HAPLOTIG
CMU002097F	CMU000748F	CMU000420F	99.99	333.66	REPEAT
CMU002098F	CMU000103F	CMU000025F	99.99	382.85	REPEAT
CMU002099F	CMU000091F	CMU001024F	99.97	102.37	HAPLOTIG
CMU002100F	CMU000797F	CMU000626F	98.08	499.79	REPEAT
CMU002102F	CMU000701F	CMU000014F	88.36	170.63	HAPLOTIG
CMU002103F	CMU000421F	CMU000019F	99.96	381.40	REPEAT
CMU002107F	CMU000029F	CMU000134F	99.18	111.31	HAPLOTIG
CMU002108F	CMU000901F	CMU000004F	91.29	214.66	HAPLOTIG
CMU002109F	CMU000239F	CMU000012F	99.63	230.26	HAPLOTIG
CMU002110F	CMU000293F	CMU000092F	99.97	157.82	HAPLOTIG
CMU002113F	CMU000177F	CMU000000F	100.00	125.41	HAPLOTIG
CMU002114F	CMU000019F	CMU002143F	85.59	125.75	HAPLOTIG
CMU002115F	CMU001885F	CMU000527F	94.95	209.96	HAPLOTIG
CMU002117F	CMU000074F	CMU000425F	88.07	191.54	HAPLOTIG
CMU002118F	CMU000436F	CMU001564F	99.99	301.71	REPEAT
CMU002119F	CMU000016F	CMU000112F	99.99	102.61	HAPLOTIG
CMU002120F	CMU000121F	CMU000018F	85.11	331.32	REPEAT
CMU002124F	CMU001551F	CMU000524F	86.25	364.92	REPEAT
CMU002125F	CMU000038F	CMU000149F	100.00	100.89	HAPLOTIG
CMU002126F	CMU000023F	CMU000002F	100.00	198.00	HAPLOTIG
CMU002127F	CMU000041F	CMU000073F	99.96	109.87	HAPLOTIG
CMU002128F	CMU000851F	CMU000029F	99.99	103.16	HAPLOTIG
CMU002130F	CMU000736F	CMU000327F	100.00	103.25	HAPLOTIG
CMU002131F	CMU000756F	CMU001339F	96.97	96.97	HAPLOTIG
CMU002132F	CMU000219F	CMU000231F	100.00	156.68	HAPLOTIG
CMU002133F	CMU000827F	CMU000000F	100.00	615.48	REPEAT
CMU002135F	CMU000621F	CMU000353F	89.10	116.63	HAPLOTIG
CMU002137F	CMU000518F	CMU000272F	100.00	2195.67	REPEAT
CMU002138F	CMU000381F	CMU000176F	99.96	182.93	HAPLOTIG
CMU002139F	CMU000417F	CMU001675F	100.00	491.66	REPEAT
CMU002142F	CMU000066F	CMU000189F	99.99	118.64	HAPLOTIG
CMU002144F	CMU001102F	CMU001121F	100.00	135.38	HAPLOTIG
CMU002145F	CMU000582F	CMU000313F	100.00	234.54	HAPLOTIG
CMU002147F	CMU000001F	CMU000019F	96.43	138.60	HAPLOTIG
CMU002148F	CMU001176F	CMU000030F	82.04	109.33	HAPLOTIG
CMU002149F	CMU001072F	CMU000092F	99.99	100.42	HAPLOTIG
CMU002150F	CMU000033F	CMU000230F	98.87	115.70	HAPLOTIG
CMU002151F	CMU000922F	CMU000006F	99.98	112.39	HAPLOTIG
CMU002153F	CMU000404F	CMU000012F	99.96	218.95	HAPLOTIG
CMU002155F	CMU001090F	CMU000055F	99.99	183.16	HAPLOTIG
CMU002156F	CMU000461F	CMU000210F	99.98	114.62	HAPLOTIG
CMU002157F	CMU001322F	CMU000199F	78.65	136.86	HAPLOTIG
CMU002158F	CMU001726F	CMU000607F	99.99	106.39	HAPLOTIG
CMU002160F	CMU000427F	CMU000037F	98.43	105.37	HAPLOTIG
CMU002161F	CMU001257F	CMU001324F	99.93	1005.71	REPEAT
CMU002162F	CMU000128F	CMU000029F	99.99	391.48	REPEAT
CMU002163F	CMU000633F	CMU000000F	99.98	105.82	HAPLOTIG
CMU002164F	CMU000607F	CMU000028F	99.95	114.71	HAPLOTIG
CMU002166F	CMU000182F	CMU000019F	86.61	127.00	HAPLOTIG
CMU002170F	CMU002672F	CMU000450F	91.00	145.03	HAPLOTIG
CMU002171F	CMU000810F	CMU000012F	95.12	368.68	REPEAT
CMU002172F	CMU001862F	CMU000380F	99.99	125.83	HAPLOTIG
CMU002173F	CMU000265F	CMU000019F	98.87	121.17	HAPLOTIG
CMU002174F	CMU000682F	CMU000006F	99.98	100.36	HAPLOTIG
CMU002176F	CMU000217F	CMU000002F	96.47	309.78	REPEAT
CMU002177F	CMU000115F	CMU000033F	100.00	126.04	HAPLOTIG
CMU002179F	CMU000697F	CMU000141F	99.96	306.37	REPEAT
CMU002180F	CMU000522F	CMU000850F	99.88	147.53	HAPLOTIG
CMU002181F	CMU000363F	CMU000953F	99.99	586.82	REPEAT
CMU002186F	CMU000785F	CMU000006F	85.31	90.89	HAPLOTIG
CMU002188F	CMU000445F	CMU000020F	82.55	82.60	HAPLOTIG
CMU002189F	CMU000873F	CMU000050F	96.13	156.90	HAPLOTIG
CMU002190F	CMU000164F	CMU000029F	99.98	387.02	REPEAT
CMU002192F	CMU000449F	CMU000002F	80.50	81.13	HAPLOTIG
CMU002197F	CMU000134F	CMU001028F	100.00	1012.41	REPEAT
CMU002198F	CMU000189F	CMU001160F	100.00	139.99	HAPLOTIG
CMU002199F	CMU000857F	CMU000070F	99.95	351.55	REPEAT
CMU002200F	CMU001105F	CMU000055F	92.00	151.50	HAPLOTIG
CMU002201F	CMU000080F	CMU000721F	99.99	101.93	HAPLOTIG
CMU002203F	CMU000250F	CMU000134F	99.30	102.41	HAPLOTIG
CMU002204F	CMU001399F	CMU002196F	99.69	4515.95	REPEAT
CMU002205F	CMU000033F	CMU000115F	99.98	128.24	HAPLOTIG
CMU002207F	CMU000531F	CMU000398F	88.97	123.41	HAPLOTIG
CMU002208F	CMU002111F	CMU000486F	99.43	112.08	HAPLOTIG
CMU002210F	CMU000446F	CMU000268F	95.88	103.32	HAPLOTIG
CMU002212F	CMU000328F	CMU001032F	99.99	194.94	HAPLOTIG
CMU002213F	CMU000648F	CMU000006F	100.00	101.48	HAPLOTIG
CMU002215F	CMU000142F	CMU000092F	98.65	99.73	HAPLOTIG
CMU002216F	CMU000378F	CMU000037F	99.97	3011.07	REPEAT
CMU002219F	CMU000290F	CMU000838F	99.84	191.50	HAPLOTIG
CMU002220F	CMU001016F	CMU000012F	98.24	137.93	HAPLOTIG
CMU002221F	CMU000000F	CMU000002F	98.59	125.85	HAPLOTIG
CMU002224F	CMU001619F	CMU000547F	100.00	425.95	REPEAT
CMU002225F	CMU000301F	CMU000466F	99.91	2676.75	REPEAT
CMU002226F	CMU000463F	CMU000877F	99.99	244.39	HAPLOTIG
CMU002227F	CMU001033F	CMU000091F	89.29	109.62	HAPLOTIG
CMU002229F	CMU000221F	CMU000367F	100.00	5844.20	REPEAT
CMU002230F	CMU000267F	CMU000568F	99.35	778.05	REPEAT
CMU002232F	CMU003180F	CMU003275F	0	0	REPEAT
CMU002233F	CMU000416F	CMU000081F	99.98	102.13	HAPLOTIG
CMU002237F	CMU000327F	CMU001961F	99.98	1142.66	REPEAT
CMU002238F	CMU000639F	CMU000164F	95.84	131.96	HAPLOTIG
CMU002240F	CMU001209F	CMU000852F	99.99	101.85	HAPLOTIG
CMU002241F	CMU001867F	CMU000962F	98.21	153.41	HAPLOTIG
CMU002242F	CMU000012F	CMU000018F	75.36	447.73	REPEAT
CMU002244F	CMU000218F	CMU000014F	83.79	141.55	HAPLOTIG
CMU002245F	CMU000281F	CMU000557F	99.02	154.72	HAPLOTIG
CMU002246F	CMU001588F	CMU000189F	99.99	149.93	HAPLOTIG
CMU002247F	CMU000628F	CMU000134F	98.69	105.61	HAPLOTIG
CMU002249F	CMU000778F	CMU000250F	99.93	105.24	HAPLOTIG
CMU002251F	CMU000197F	CMU000019F	99.99	101.43	HAPLOTIG
CMU002253F	CMU002105F	CMU000034F	99.97	331.03	REPEAT
CMU002254F	CMU000292F	CMU000091F	86.57	93.37	HAPLOTIG
CMU002257F	CMU000524F	CMU000950F	95.63	308.46	REPEAT
CMU002258F	CMU001773F	CMU000113F	99.92	148.33	HAPLOTIG
CMU002259F	CMU000305F	CMU000018F	99.80	375.38	REPEAT
CMU002260F	CMU000071F	CMU000061F	99.99	101.08	HAPLOTIG
CMU002261F	CMU000030F	CMU000148F	99.98	108.79	HAPLOTIG
CMU002262F	CMU000082F	CMU000061F	100.00	105.08	HAPLOTIG
CMU002263F	CMU002618F	CMU000068F	100.00	223.43	HAPLOTIG
CMU002266F	CMU000620F	CMU000026F	99.98	305.94	REPEAT
CMU002267F	CMU000285F	CMU001076F	100.00	634.33	REPEAT
CMU002268F	CMU001231F	CMU000352F	99.97	193.26	HAPLOTIG
CMU002269F	CMU000284F	CMU000061F	99.99	159.84	HAPLOTIG
CMU002271F	CMU000192F	CMU000143F	99.99	110.04	HAPLOTIG
CMU002272F	CMU000194F	CMU001345F	99.90	100.05	HAPLOTIG
CMU002273F	CMU000797F	CMU000045F	99.97	336.53	REPEAT
CMU002274F	CMU000275F	CMU000081F	99.98	112.32	HAPLOTIG
CMU002275F	CMU000701F	CMU001225F	100.00	198.60	HAPLOTIG
CMU002276F	CMU000275F	CMU000010F	99.99	125.51	HAPLOTIG
CMU002278F	CMU000948F	CMU000429F	100.00	108.09	HAPLOTIG
CMU002279F	CMU000106F	CMU000253F	100.00	179.46	HAPLOTIG
CMU002280F	CMU001593F	CMU000254F	100.00	136.40	HAPLOTIG
CMU002281F	CMU000452F	CMU000443F	78.06	113.80	HAPLOTIG
CMU002282F	CMU000612F	CMU000895F	89.04	173.39	HAPLOTIG
CMU002283F	CMU000947F	CMU000238F	100.00	103.38	HAPLOTIG
CMU002284F	CMU000216F	CMU000091F	99.99	134.58	HAPLOTIG
CMU002285F	CMU000019F	CMU001596F	74.77	120.63	HAPLOTIG
CMU002287F	CMU002321F	CMU000015F	74.08	82.00	HAPLOTIG
CMU002288F	CMU001326F	CMU000020F	100.00	263.01	REPEAT
CMU002290F	CMU000044F	CMU000374F	99.96	107.96	HAPLOTIG
CMU002292F	CMU001661F	CMU000012F	89.50	518.03	REPEAT
CMU002293F	CMU001205F	CMU000012F	85.74	225.45	HAPLOTIG
CMU002294F	CMU001327F	CMU000015F	80.82	206.55	HAPLOTIG
CMU002296F	CMU000102F	CMU000284F	99.89	108.41	HAPLOTIG
CMU002297F	CMU000173F	CMU000284F	94.10	94.27	HAPLOTIG
CMU002299F	CMU000034F	CMU000195F	74.30	113.53	HAPLOTIG
CMU002300F	CMU000879F	CMU000012F	100.00	210.84	HAPLOTIG
CMU002302F	CMU001000F	CMU000255F	99.99	230.52	HAPLOTIG
CMU002304F	CMU000692F	CMU000358F	99.99	131.40	HAPLOTIG
CMU002305F	CMU000011F	CMU000027F	99.98	129.54	HAPLOTIG
CMU002306F	CMU000948F	CMU000000F	81.82	194.02	HAPLOTIG
CMU002307F	CMU000956F	CMU000019F	97.13	160.17	HAPLOTIG
CMU002309F	CMU001294F	CMU000019F	100.00	107.84	HAPLOTIG
CMU002310F	CMU000527F	CMU000794F	100.00	138.44	HAPLOTIG
CMU002311F	CMU000099F	CMU000012F	100.00	194.67	HAPLOTIG
CMU002312F	CMU001088F	CMU000895F	84.72	537.56	REPEAT
CMU002313F	CMU000404F	CMU000096F	85.48	297.03	REPEAT
CMU002315F	CMU000677F	CMU000704F	98.05	321.17	REPEAT
CMU002316F	CMU001963F	CMU000273F	71.11	101.73	HAPLOTIG
CMU002319F	CMU001491F	CMU000022F	99.99	1644.84	REPEAT
CMU002322F	CMU001005F	CMU000087F	99.99	100.07	HAPLOTIG
CMU002324F	CMU000090F	CMU000027F	99.99	107.92	HAPLOTIG
CMU002325F	CMU001191F	CMU001165F	99.91	99.91	HAPLOTIG
CMU002326F	CMU000414F	CMU000657F	100.00	104.92	HAPLOTIG
CMU002327F	CMU001214F	CMU000721F	100.00	115.36	HAPLOTIG
CMU002329F	CMU000009F	CMU001113F	79.58	91.13	HAPLOTIG
CMU002331F	CMU000518F	CMU000272F	99.98	775.21	REPEAT
CMU002332F	CMU000110F	CMU000022F	99.99	144.94	HAPLOTIG
CMU002333F	CMU000025F	CMU000019F	100.00	279.61	REPEAT
CMU002334F	CMU001303F	CMU000021F	100.00	100.80	HAPLOTIG
CMU002335F	CMU000850F	CMU001349F	100.00	1444.11	REPEAT
CMU002337F	CMU001107F	CMU001993F	77.20	92.06	HAPLOTIG
CMU002339F	CMU000031F	CMU000019F	100.00	145.22	HAPLOTIG
CMU002340F	CMU000616F	CMU000038F	99.99	122.63	HAPLOTIG
CMU002342F	CMU000363F	CMU000856F	100.00	117.85	HAPLOTIG
CMU002343F	CMU001094F	CMU000336F	100.00	124.52	HAPLOTIG
CMU002344F	CMU000503F	CMU000203F	99.99	591.06	REPEAT
CMU002346F	CMU000022F	CMU000017F	88.16	90.10	HAPLOTIG
CMU002347F	CMU000321F	CMU000097F	99.99	100.22	HAPLOTIG
CMU002349F	CMU001937F	CMU001242F	99.88	186.09	HAPLOTIG
CMU002354F	CMU001643F	CMU000012F	88.11	138.21	HAPLOTIG
CMU002356F	CMU000316F	CMU000199F	99.29	321.66	REPEAT
CMU002358F	CMU000615F	CMU000199F	85.97	164.03	HAPLOTIG
CMU002359F	CMU000346F	CMU000012F	70.67	216.52	HAPLOTIG
CMU002360F	CMU000866F	CMU000012F	87.79	406.98	REPEAT
CMU002361F	CMU000327F	CMU000400F	99.95	395.22	REPEAT
CMU002362F	CMU000590F	CMU001158F	99.97	117.96	HAPLOTIG
CMU002363F	CMU000531F	CMU000000F	99.99	100.96	HAPLOTIG
CMU002364F	CMU000576F	CMU000419F	99.84	143.53	HAPLOTIG
CMU002367F	CMU000257F	CMU000061F	100.00	101.14	HAPLOTIG
CMU002368F	CMU000600F	CMU000041F	97.71	185.42	HAPLOTIG
CMU002369F	CMU001583F	CMU000012F	99.97	134.81	HAPLOTIG
CMU002370F	CMU002277F	CMU000398F	99.99	130.27	HAPLOTIG
CMU002372F	CMU001159F	CMU000788F	94.65	212.85	HAPLOTIG
CMU002373F	CMU000958F	CMU000657F	85.45	168.77	HAPLOTIG
CMU002374F	CMU001854F	CMU000052F	99.97	154.06	HAPLOTIG
CMU002375F	CMU000647F	CMU000119F	94.60	145.73	HAPLOTIG
CMU002377F	CMU000282F	CMU000192F	99.99	128.72	HAPLOTIG
CMU002378F	CMU000025F	CMU000020F	99.96	102.13	HAPLOTIG
CMU002379F	CMU001444F	CMU000019F	99.74	109.51	HAPLOTIG
CMU002380F	CMU000722F	CMU000000F	99.92	154.66	HAPLOTIG
CMU002381F	CMU000395F	CMU000909F	98.11	181.19	HAPLOTIG
CMU002382F	CMU000453F	CMU000091F	98.51	101.50	HAPLOTIG
CMU002384F	CMU000027F	CMU000015F	100.00	148.63	HAPLOTIG
CMU002386F	CMU000626F	CMU000420F	99.75	179.84	HAPLOTIG
CMU002387F	CMU000761F	CMU001012F	100.00	270.78	REPEAT
CMU002389F	CMU000332F	CMU000753F	99.92	112.67	HAPLOTIG
CMU002390F	CMU001031F	CMU000565F	99.99	101.04	HAPLOTIG
CMU002392F	CMU000491F	CMU000087F	99.98	114.62	HAPLOTIG
CMU002395F	CMU001897F	CMU001022F	97.88	128.63	HAPLOTIG
CMU002396F	CMU000019F	CMU000301F	99.89	1745.58	REPEAT
CMU002398F	CMU000209F	CMU000228F	99.76	128.68	HAPLOTIG
CMU002399F	CMU000791F	CMU000019F	100.00	102.01	HAPLOTIG
CMU002401F	CMU000444F	CMU000006F	99.99	100.09	HAPLOTIG
CMU002402F	CMU000701F	CMU000012F	99.86	197.40	HAPLOTIG
CMU002403F	CMU000273F	CMU000554F	100.00	100.88	HAPLOTIG
CMU002405F	CMU002048F	CMU000018F	99.99	155.15	HAPLOTIG
CMU002406F	CMU000861F	CMU000129F	98.38	230.36	HAPLOTIG
CMU002410F	CMU000610F	CMU000313F	91.00	765.55	REPEAT
CMU002411F	CMU001400F	CMU000149F	99.99	142.58	HAPLOTIG
CMU002413F	CMU000399F	CMU000018F	99.87	282.10	REPEAT
CMU002414F	CMU000196F	CMU000012F	100.00	112.65	HAPLOTIG
CMU002415F	CMU000620F	CMU000026F	99.94	266.61	REPEAT
CMU002417F	CMU001068F	CMU000002F	99.91	137.74	HAPLOTIG
CMU002418F	CMU000257F	CMU000202F	99.97	126.94	HAPLOTIG
CMU002419F	CMU001573F	CMU000019F	74.87	90.38	HAPLOTIG
CMU002420F	CMU000708F	CMU000019F	100.00	347.53	REPEAT
CMU002422F	CMU000626F	CMU000053F	99.99	540.65	REPEAT
CMU002424F	CMU000412F	CMU000756F	100.00	218.53	HAPLOTIG
CMU002425F	CMU000025F	CMU000014F	95.59	194.80	HAPLOTIG
CMU002427F	CMU000625F	CMU000566F	100.00	152.61	HAPLOTIG
CMU002428F	CMU000891F	CMU000303F	99.90	110.35	HAPLOTIG
CMU002429F	CMU001781F	CMU001320F	99.96	426.10	REPEAT
CMU002431F	CMU002045F	CMU002336F	72.92	205.23	HAPLOTIG
CMU002434F	CMU000548F	CMU000416F	100.00	468.16	REPEAT
CMU002440F	CMU001825F	CMU000010F	99.97	153.02	HAPLOTIG
CMU002441F	CMU001753F	CMU001770F	99.93	115.90	HAPLOTIG
CMU002442F	CMU000637F	CMU000019F	100.00	164.04	HAPLOTIG
